"family","Count","MonthYear","Temp","Year","Month","Precip"
"CANTHARIDAE",0,"1.1992",2.4,1992,1,34
"CANTHARIDAE",0,"2.1992",3.5,1992,2,38
"CANTHARIDAE",0,"3.1992",4.7,1992,3,56
"CANTHARIDAE",0,"4.1992",7.1,1992,4,54
"CANTHARIDAE",0,"5.1992",13.8,1992,5,18
"CANTHARIDAE",3,"6.1992",18.5,1992,6,1
"CANTHARIDAE",2,"7.1992",19.1,1992,7,51
"CANTHARIDAE",0,"8.1992",17.7,1992,8,104
"CANTHARIDAE",0,"9.1992",13.7,1992,9,37
"CANTHARIDAE",0,"10.1992",7.1,1992,10,67
"CANTHARIDAE",0,"11.1992",4.6,1992,11,96
"CANTHARIDAE",0,"12.1992",2.9,1992,12,42
"CANTHARIDAE",0,"1.1993",2.1,1993,1,74
"CANTHARIDAE",0,"2.1993",1.6,1993,2,27
"CANTHARIDAE",0,"3.1993",3.4,1993,3,16
"CANTHARIDAE",0,"4.1993",8.3,1993,4,15
"CANTHARIDAE",2,"5.1993",14.2,1993,5,23
"CANTHARIDAE",2,"6.1993",15.2,1993,6,34
"CANTHARIDAE",3,"7.1993",15.8,1993,7,114
"CANTHARIDAE",0,"8.1993",15.2,1993,8,64
"CANTHARIDAE",0,"9.1993",11.7,1993,9,95
"CANTHARIDAE",0,"10.1993",8.1,1993,10,66
"CANTHARIDAE",0,"11.1993",1.9,1993,11,40
"CANTHARIDAE",0,"12.1993",2.9,1993,12,91
"CANTHARIDAE",0,"1.1994",2.9,1994,1,84
"CANTHARIDAE",0,"2.1994",-0.9,1994,2,46
"CANTHARIDAE",0,"3.1994",3.8,1994,3,79
"CANTHARIDAE",0,"4.1994",8.3,1994,4,41
"CANTHARIDAE",3,"5.1994",11.7,1994,5,30
"CANTHARIDAE",2,"6.1994",14.5,1994,6,61
"CANTHARIDAE",10,"7.1994",20.6,1994,7,4
"CANTHARIDAE",0,"8.1994",18.3,1994,8,84
"CANTHARIDAE",0,"9.1994",13.7,1994,9,143
"CANTHARIDAE",0,"10.1994",8.5,1994,10,48
"CANTHARIDAE",0,"11.1994",6,1994,11,49
"CANTHARIDAE",0,"12.1994",4.4,1994,12,95
"CANTHARIDAE",0,"1.1995",0.6,1995,1,84
"CANTHARIDAE",0,"2.1995",4,1995,2,68
"CANTHARIDAE",0,"3.1995",3.5,1995,3,37
"CANTHARIDAE",0,"4.1995",7,1995,4,53
"CANTHARIDAE",2,"5.1995",11.3,1995,5,53
"CANTHARIDAE",15,"6.1995",15.4,1995,6,53
"CANTHARIDAE",96,"7.1995",18.7,1995,7,40
"CANTHARIDAE",4,"8.1995",19.3,1995,8,24
"CANTHARIDAE",0,"9.1995",13.9,1995,9,89
"CANTHARIDAE",0,"10.1995",12.2,1995,10,40
"CANTHARIDAE",0,"11.1995",3,1995,11,42
"CANTHARIDAE",0,"12.1995",-1.4,1995,12,22
"CANTHARIDAE",0,"1.1996",-1.6,1996,1,7
"CANTHARIDAE",0,"2.1996",-2.7,1996,2,28
"CANTHARIDAE",0,"3.1996",0.3,1996,3,13
"CANTHARIDAE",0,"4.1996",7.6,1996,4,18
"CANTHARIDAE",0,"5.1996",9.8,1996,5,90
"CANTHARIDAE",2,"6.1996",15,1996,6,36
"CANTHARIDAE",11,"7.1996",15.9,1996,7,57
"CANTHARIDAE",2,"8.1996",18.7,1996,8,43
"CANTHARIDAE",0,"9.1996",12.3,1996,9,55
"CANTHARIDAE",0,"10.1996",10.3,1996,10,42
"CANTHARIDAE",0,"11.1996",4.9,1996,11,69
"CANTHARIDAE",0,"12.1996",-0.5,1996,12,28
"CANTHARIDAE",0,"1.1997",-1.2,1997,1,5
"CANTHARIDAE",0,"2.1997",3.2,1997,2,61
"CANTHARIDAE",0,"3.1997",4.1,1997,3,20
"CANTHARIDAE",0,"4.1997",6.3,1997,4,30
"CANTHARIDAE",3,"5.1997",10.8,1997,5,73
"CANTHARIDAE",1,"6.1997",16.2,1997,6,51
"CANTHARIDAE",18,"7.1997",18.7,1997,7,55
"CANTHARIDAE",2,"8.1997",20.6,1997,8,25
"CANTHARIDAE",0,"9.1997",14.8,1997,9,41
"CANTHARIDAE",0,"10.1997",8.4,1997,10,69
"CANTHARIDAE",0,"11.1997",3.9,1997,11,44
"CANTHARIDAE",0,"12.1997",2.7,1997,12,52
"CANTHARIDAE",0,"1.1998",2.9,1998,1,49
"CANTHARIDAE",0,"2.1998",5.1,1998,2,51
"CANTHARIDAE",0,"3.1998",3.7,1998,3,48
"CANTHARIDAE",0,"4.1998",7.7,1998,4,60
"CANTHARIDAE",5,"5.1998",13,1998,5,33
"CANTHARIDAE",5,"6.1998",15.4,1998,6,85
"CANTHARIDAE",6,"7.1998",15.9,1998,7,97
"CANTHARIDAE",0,"8.1998",15.7,1998,8,58
"CANTHARIDAE",0,"9.1998",14.3,1998,9,70
"CANTHARIDAE",0,"10.1998",9.3,1998,10,118
"CANTHARIDAE",0,"11.1998",1.5,1998,11,43
"CANTHARIDAE",0,"12.1998",1.2,1998,12,59
"CANTHARIDAE",0,"1.1999",2.2,1999,1,64
"CANTHARIDAE",0,"2.1999",1,1999,2,48
"CANTHARIDAE",0,"3.1999",4.1,1999,3,45
"CANTHARIDAE",0,"4.1999",8.4,1999,4,52
"CANTHARIDAE",7,"5.1999",11.6,1999,5,57
"CANTHARIDAE",11,"6.1999",15.7,1999,6,106
"CANTHARIDAE",22,"7.1999",19,1999,7,40
"CANTHARIDAE",0,"8.1999",17.7,1999,8,109
"CANTHARIDAE",0,"9.1999",16.8,1999,9,51
"CANTHARIDAE",0,"10.1999",9.8,1999,10,55
"CANTHARIDAE",0,"11.1999",5.3,1999,11,29
"CANTHARIDAE",0,"12.1999",2.8,1999,12,112
"CANTHARIDAE",0,"1.2000",2.6,2000,1,44
"CANTHARIDAE",0,"2.2000",3.9,2000,2,44
"CANTHARIDAE",0,"3.2000",4.2,2000,3,55
"CANTHARIDAE",0,"4.2000",9.5,2000,4,44
"CANTHARIDAE",8,"5.2000",13.9,2000,5,35
"CANTHARIDAE",23,"6.2000",15.5,2000,6,81
"CANTHARIDAE",3,"7.2000",16.4,2000,7,39
"CANTHARIDAE",0,"8.2000",16.6,2000,8,47
"CANTHARIDAE",0,"9.2000",13.7,2000,9,67
"CANTHARIDAE",0,"10.2000",12.1,2000,10,61
"CANTHARIDAE",0,"11.2000",7.1,2000,11,67
"CANTHARIDAE",0,"12.2000",4.3,2000,12,58
"CANTHARIDAE",0,"1.2001",1.8,2001,1,39
"CANTHARIDAE",0,"2.2001",1,2001,2,40
"CANTHARIDAE",0,"3.2001",1.9,2001,3,28
"CANTHARIDAE",0,"4.2001",6.6,2001,4,55
"CANTHARIDAE",9,"5.2001",12.8,2001,5,27
"CANTHARIDAE",6,"6.2001",14.6,2001,6,61
"CANTHARIDAE",40,"7.2001",19,2001,7,37
"CANTHARIDAE",0,"8.2001",18,2001,8,102
"CANTHARIDAE",0,"9.2001",13.3,2001,9,117
"CANTHARIDAE",0,"10.2001",12.4,2001,10,42
"CANTHARIDAE",0,"11.2001",4.9,2001,11,46
"CANTHARIDAE",0,"12.2001",0.9,2001,12,49
"CANTHARIDAE",0,"1.2002",2.7,2002,1,68
"CANTHARIDAE",0,"2.2002",4.7,2002,2,82
"CANTHARIDAE",0,"3.2002",4.9,2002,3,29
"CANTHARIDAE",0,"4.2002",7.8,2002,4,31
"CANTHARIDAE",7,"5.2002",13.7,2002,5,53
"CANTHARIDAE",5,"6.2002",17,2002,6,78
"CANTHARIDAE",12,"7.2002",18.5,2002,7,89
"CANTHARIDAE",0,"8.2002",20.3,2002,8,65
"CANTHARIDAE",0,"9.2002",15.6,2002,9,36
"CANTHARIDAE",0,"10.2002",7.9,2002,10,111
"CANTHARIDAE",0,"11.2002",3.9,2002,11,66
"CANTHARIDAE",0,"12.2002",-0.1,2002,12,26
"CANTHARIDAE",0,"1.2003",0.2,2003,1,42
"CANTHARIDAE",0,"2.2003",-1.2,2003,2,10
"CANTHARIDAE",0,"3.2003",3.4,2003,3,10
"CANTHARIDAE",0,"4.2003",7.4,2003,4,42
"CANTHARIDAE",3,"5.2003",13,2003,5,57
"CANTHARIDAE",11,"6.2003",17.3,2003,6,49
"CANTHARIDAE",10,"7.2003",19.2,2003,7,86
"CANTHARIDAE",1,"8.2003",18.9,2003,8,43
"CANTHARIDAE",0,"9.2003",14.9,2003,9,45
"CANTHARIDAE",0,"10.2003",7.3,2003,10,48
"CANTHARIDAE",0,"11.2003",6.1,2003,11,44
"CANTHARIDAE",0,"12.2003",4,2003,12,52
"CANTHARIDAE",0,"1.2004",-0.6,2004,1,61
"CANTHARIDAE",0,"2.2004",2.1,2004,2,36
"CANTHARIDAE",0,"3.2004",4.1,2004,3,35
"CANTHARIDAE",0,"4.2004",8.7,2004,4,31
"CANTHARIDAE",3,"5.2004",12.5,2004,5,30
"CANTHARIDAE",3,"6.2004",14.9,2004,6,68
"CANTHARIDAE",3,"7.2004",16.3,2004,7,113
"CANTHARIDAE",2,"8.2004",18.7,2004,8,85
"CANTHARIDAE",0,"9.2004",14.6,2004,9,49
"CANTHARIDAE",0,"10.2004",10.1,2004,10,79
"CANTHARIDAE",0,"11.2004",4.8,2004,11,48
"CANTHARIDAE",0,"12.2004",4,2004,12,53
"CANTHARIDAE",0,"1.2005",3.4,2005,1,45
"CANTHARIDAE",0,"2.2005",0.4,2005,2,45
"CANTHARIDAE",0,"3.2005",1.6,2005,3,36
"CANTHARIDAE",0,"4.2005",8.1,2005,4,14
"CANTHARIDAE",8,"5.2005",12.2,2005,5,46
"CANTHARIDAE",15,"6.2005",15.4,2005,6,45
"CANTHARIDAE",83,"7.2005",18.7,2005,7,82
"CANTHARIDAE",0,"8.2005",16.6,2005,8,61
"CANTHARIDAE",0,"9.2005",15.4,2005,9,27
"CANTHARIDAE",0,"10.2005",11.6,2005,10,50
"CANTHARIDAE",0,"11.2005",5.6,2005,11,40
"CANTHARIDAE",0,"12.2005",2.5,2005,12,57
"CANTHARIDAE",0,"1.2006",-1.4,2006,1,20
"CANTHARIDAE",0,"2.2006",0.4,2006,2,45
"CANTHARIDAE",0,"3.2006",0.2,2006,3,39
"CANTHARIDAE",0,"4.2006",6.9,2006,4,45
"CANTHARIDAE",0,"5.2006",12.3,2006,5,66
"CANTHARIDAE",18,"6.2006",16.7,2006,6,30
"CANTHARIDAE",52,"7.2006",21.2,2006,7,23
"CANTHARIDAE",0,"8.2006",18.2,2006,8,156
"CANTHARIDAE",0,"9.2006",16.8,2006,9,35
"CANTHARIDAE",0,"10.2006",12.9,2006,10,77
"CANTHARIDAE",0,"11.2006",7.5,2006,11,70
"CANTHARIDAE",0,"12.2006",6.9,2006,12,60
"CANTHARIDAE",0,"1.2007",5,2007,1,92
"CANTHARIDAE",0,"2.2007",2.3,2007,2,59
"CANTHARIDAE",0,"3.2007",6.3,2007,3,34
"CANTHARIDAE",0,"4.2007",9.6,2007,4,11
"CANTHARIDAE",7,"5.2007",13.2,2007,5,61
"CANTHARIDAE",18,"6.2007",17.4,2007,6,110
"CANTHARIDAE",4,"7.2007",17.2,2007,7,144
"CANTHARIDAE",0,"8.2007",17.8,2007,8,69
"CANTHARIDAE",0,"9.2007",13.7,2007,9,72
"CANTHARIDAE",0,"10.2007",9.4,2007,10,30
"CANTHARIDAE",0,"11.2007",4.7,2007,11,37
"CANTHARIDAE",0,"12.2007",3.8,2007,12,54
"CANTHARIDAE",0,"1.2008",3.9,2008,1,61
"CANTHARIDAE",0,"2.2008",4.9,2008,2,30
"CANTHARIDAE",0,"3.2008",4.3,2008,3,59
"CANTHARIDAE",0,"4.2008",8.1,2008,4,47
"CANTHARIDAE",10,"5.2008",13.9,2008,5,23
"CANTHARIDAE",5,"6.2008",16.6,2008,6,33
"CANTHARIDAE",7,"7.2008",18.7,2008,7,56
"CANTHARIDAE",0,"8.2008",17.8,2008,8,128
"CANTHARIDAE",0,"9.2008",14,2008,9,52
"CANTHARIDAE",0,"10.2008",10.4,2008,10,76
"CANTHARIDAE",0,"11.2008",5.7,2008,11,56
"CANTHARIDAE",0,"12.2008",3,2008,12,50
"CANTHARIDAE",0,"1.2009",0.9,2009,1,28
"CANTHARIDAE",0,"2.2009",0.8,2009,2,38
"CANTHARIDAE",0,"3.2009",4,2009,3,39
"CANTHARIDAE",0,"4.2009",9.8,2009,4,6
"CANTHARIDAE",7,"5.2009",12.8,2009,5,58
"CANTHARIDAE",0,"6.2009",15,2009,6,68
"CANTHARIDAE",14,"7.2009",18.8,2009,7,83
"CANTHARIDAE",0,"8.2009",18.5,2009,8,45
"CANTHARIDAE",0,"9.2009",15.3,2009,9,41
"CANTHARIDAE",0,"10.2009",8.4,2009,10,70
"CANTHARIDAE",0,"11.2009",6.6,2009,11,89
"CANTHARIDAE",0,"12.2009",1,2009,12,49
"CARABIDAE",0,"1.1992",2.4,1992,1,34
"CARABIDAE",0,"2.1992",3.5,1992,2,38
"CARABIDAE",0,"3.1992",4.7,1992,3,56
"CARABIDAE",0,"4.1992",7.1,1992,4,54
"CARABIDAE",0,"5.1992",13.8,1992,5,18
"CARABIDAE",6,"6.1992",18.5,1992,6,1
"CARABIDAE",323,"7.1992",19.1,1992,7,51
"CARABIDAE",139,"8.1992",17.7,1992,8,104
"CARABIDAE",5,"9.1992",13.7,1992,9,37
"CARABIDAE",0,"10.1992",7.1,1992,10,67
"CARABIDAE",0,"11.1992",4.6,1992,11,96
"CARABIDAE",0,"12.1992",2.9,1992,12,42
"CARABIDAE",0,"1.1993",2.1,1993,1,74
"CARABIDAE",0,"2.1993",1.6,1993,2,27
"CARABIDAE",0,"3.1993",3.4,1993,3,16
"CARABIDAE",0,"4.1993",8.3,1993,4,15
"CARABIDAE",1,"5.1993",14.2,1993,5,23
"CARABIDAE",0,"6.1993",15.2,1993,6,34
"CARABIDAE",4,"7.1993",15.8,1993,7,114
"CARABIDAE",1,"8.1993",15.2,1993,8,64
"CARABIDAE",6,"9.1993",11.7,1993,9,95
"CARABIDAE",1,"10.1993",8.1,1993,10,66
"CARABIDAE",0,"11.1993",1.9,1993,11,40
"CARABIDAE",0,"12.1993",2.9,1993,12,91
"CARABIDAE",0,"1.1994",2.9,1994,1,84
"CARABIDAE",0,"2.1994",-0.9,1994,2,46
"CARABIDAE",0,"3.1994",3.8,1994,3,79
"CARABIDAE",0,"4.1994",8.3,1994,4,41
"CARABIDAE",0,"5.1994",11.7,1994,5,30
"CARABIDAE",5,"6.1994",14.5,1994,6,61
"CARABIDAE",135,"7.1994",20.6,1994,7,4
"CARABIDAE",265,"8.1994",18.3,1994,8,84
"CARABIDAE",20,"9.1994",13.7,1994,9,143
"CARABIDAE",0,"10.1994",8.5,1994,10,48
"CARABIDAE",0,"11.1994",6,1994,11,49
"CARABIDAE",0,"12.1994",4.4,1994,12,95
"CARABIDAE",0,"1.1995",0.6,1995,1,84
"CARABIDAE",0,"2.1995",4,1995,2,68
"CARABIDAE",0,"3.1995",3.5,1995,3,37
"CARABIDAE",0,"4.1995",7,1995,4,53
"CARABIDAE",0,"5.1995",11.3,1995,5,53
"CARABIDAE",22,"6.1995",15.4,1995,6,53
"CARABIDAE",447,"7.1995",18.7,1995,7,40
"CARABIDAE",377,"8.1995",19.3,1995,8,24
"CARABIDAE",39,"9.1995",13.9,1995,9,89
"CARABIDAE",5,"10.1995",12.2,1995,10,40
"CARABIDAE",0,"11.1995",3,1995,11,42
"CARABIDAE",0,"12.1995",-1.4,1995,12,22
"CARABIDAE",0,"1.1996",-1.6,1996,1,7
"CARABIDAE",0,"2.1996",-2.7,1996,2,28
"CARABIDAE",0,"3.1996",0.3,1996,3,13
"CARABIDAE",0,"4.1996",7.6,1996,4,18
"CARABIDAE",0,"5.1996",9.8,1996,5,90
"CARABIDAE",0,"6.1996",15,1996,6,36
"CARABIDAE",75,"7.1996",15.9,1996,7,57
"CARABIDAE",621,"8.1996",18.7,1996,8,43
"CARABIDAE",13,"9.1996",12.3,1996,9,55
"CARABIDAE",1,"10.1996",10.3,1996,10,42
"CARABIDAE",0,"11.1996",4.9,1996,11,69
"CARABIDAE",0,"12.1996",-0.5,1996,12,28
"CARABIDAE",0,"1.1997",-1.2,1997,1,5
"CARABIDAE",0,"2.1997",3.2,1997,2,61
"CARABIDAE",0,"3.1997",4.1,1997,3,20
"CARABIDAE",0,"4.1997",6.3,1997,4,30
"CARABIDAE",2,"5.1997",10.8,1997,5,73
"CARABIDAE",1,"6.1997",16.2,1997,6,51
"CARABIDAE",221,"7.1997",18.7,1997,7,55
"CARABIDAE",722,"8.1997",20.6,1997,8,25
"CARABIDAE",59,"9.1997",14.8,1997,9,41
"CARABIDAE",1,"10.1997",8.4,1997,10,69
"CARABIDAE",0,"11.1997",3.9,1997,11,44
"CARABIDAE",0,"12.1997",2.7,1997,12,52
"CARABIDAE",0,"1.1998",2.9,1998,1,49
"CARABIDAE",0,"2.1998",5.1,1998,2,51
"CARABIDAE",0,"3.1998",3.7,1998,3,48
"CARABIDAE",0,"4.1998",7.7,1998,4,60
"CARABIDAE",1,"5.1998",13,1998,5,33
"CARABIDAE",2,"6.1998",15.4,1998,6,85
"CARABIDAE",784,"7.1998",15.9,1998,7,97
"CARABIDAE",114,"8.1998",15.7,1998,8,58
"CARABIDAE",1,"9.1998",14.3,1998,9,70
"CARABIDAE",0,"10.1998",9.3,1998,10,118
"CARABIDAE",0,"11.1998",1.5,1998,11,43
"CARABIDAE",0,"12.1998",1.2,1998,12,59
"CARABIDAE",0,"1.1999",2.2,1999,1,64
"CARABIDAE",0,"2.1999",1,1999,2,48
"CARABIDAE",0,"3.1999",4.1,1999,3,45
"CARABIDAE",0,"4.1999",8.4,1999,4,52
"CARABIDAE",0,"5.1999",11.6,1999,5,57
"CARABIDAE",3,"6.1999",15.7,1999,6,106
"CARABIDAE",83,"7.1999",19,1999,7,40
"CARABIDAE",195,"8.1999",17.7,1999,8,109
"CARABIDAE",26,"9.1999",16.8,1999,9,51
"CARABIDAE",0,"10.1999",9.8,1999,10,55
"CARABIDAE",0,"11.1999",5.3,1999,11,29
"CARABIDAE",0,"12.1999",2.8,1999,12,112
"CARABIDAE",0,"1.2000",2.6,2000,1,44
"CARABIDAE",0,"2.2000",3.9,2000,2,44
"CARABIDAE",0,"3.2000",4.2,2000,3,55
"CARABIDAE",0,"4.2000",9.5,2000,4,44
"CARABIDAE",9,"5.2000",13.9,2000,5,35
"CARABIDAE",48,"6.2000",15.5,2000,6,81
"CARABIDAE",297,"7.2000",16.4,2000,7,39
"CARABIDAE",116,"8.2000",16.6,2000,8,47
"CARABIDAE",11,"9.2000",13.7,2000,9,67
"CARABIDAE",0,"10.2000",12.1,2000,10,61
"CARABIDAE",0,"11.2000",7.1,2000,11,67
"CARABIDAE",0,"12.2000",4.3,2000,12,58
"CARABIDAE",0,"1.2001",1.8,2001,1,39
"CARABIDAE",0,"2.2001",1,2001,2,40
"CARABIDAE",0,"3.2001",1.9,2001,3,28
"CARABIDAE",0,"4.2001",6.6,2001,4,55
"CARABIDAE",0,"5.2001",12.8,2001,5,27
"CARABIDAE",15,"6.2001",14.6,2001,6,61
"CARABIDAE",269,"7.2001",19,2001,7,37
"CARABIDAE",889,"8.2001",18,2001,8,102
"CARABIDAE",3,"9.2001",13.3,2001,9,117
"CARABIDAE",0,"10.2001",12.4,2001,10,42
"CARABIDAE",0,"11.2001",4.9,2001,11,46
"CARABIDAE",0,"12.2001",0.9,2001,12,49
"CARABIDAE",0,"1.2002",2.7,2002,1,68
"CARABIDAE",0,"2.2002",4.7,2002,2,82
"CARABIDAE",0,"3.2002",4.9,2002,3,29
"CARABIDAE",0,"4.2002",7.8,2002,4,31
"CARABIDAE",0,"5.2002",13.7,2002,5,53
"CARABIDAE",2,"6.2002",17,2002,6,78
"CARABIDAE",350,"7.2002",18.5,2002,7,89
"CARABIDAE",590,"8.2002",20.3,2002,8,65
"CARABIDAE",1,"9.2002",15.6,2002,9,36
"CARABIDAE",0,"10.2002",7.9,2002,10,111
"CARABIDAE",0,"11.2002",3.9,2002,11,66
"CARABIDAE",0,"12.2002",-0.1,2002,12,26
"CARABIDAE",0,"1.2003",0.2,2003,1,42
"CARABIDAE",0,"2.2003",-1.2,2003,2,10
"CARABIDAE",0,"3.2003",3.4,2003,3,10
"CARABIDAE",0,"4.2003",7.4,2003,4,42
"CARABIDAE",2,"5.2003",13,2003,5,57
"CARABIDAE",8,"6.2003",17.3,2003,6,49
"CARABIDAE",331,"7.2003",19.2,2003,7,86
"CARABIDAE",164,"8.2003",18.9,2003,8,43
"CARABIDAE",1,"9.2003",14.9,2003,9,45
"CARABIDAE",1,"10.2003",7.3,2003,10,48
"CARABIDAE",0,"11.2003",6.1,2003,11,44
"CARABIDAE",0,"12.2003",4,2003,12,52
"CARABIDAE",0,"1.2004",-0.6,2004,1,61
"CARABIDAE",0,"2.2004",2.1,2004,2,36
"CARABIDAE",0,"3.2004",4.1,2004,3,35
"CARABIDAE",0,"4.2004",8.7,2004,4,31
"CARABIDAE",0,"5.2004",12.5,2004,5,30
"CARABIDAE",0,"6.2004",14.9,2004,6,68
"CARABIDAE",1105,"7.2004",16.3,2004,7,113
"CARABIDAE",123,"8.2004",18.7,2004,8,85
"CARABIDAE",13,"9.2004",14.6,2004,9,49
"CARABIDAE",0,"10.2004",10.1,2004,10,79
"CARABIDAE",0,"11.2004",4.8,2004,11,48
"CARABIDAE",0,"12.2004",4,2004,12,53
"CARABIDAE",0,"1.2005",3.4,2005,1,45
"CARABIDAE",0,"2.2005",0.4,2005,2,45
"CARABIDAE",0,"3.2005",1.6,2005,3,36
"CARABIDAE",0,"4.2005",8.1,2005,4,14
"CARABIDAE",1,"5.2005",12.2,2005,5,46
"CARABIDAE",6,"6.2005",15.4,2005,6,45
"CARABIDAE",124,"7.2005",18.7,2005,7,82
"CARABIDAE",410,"8.2005",16.6,2005,8,61
"CARABIDAE",22,"9.2005",15.4,2005,9,27
"CARABIDAE",0,"10.2005",11.6,2005,10,50
"CARABIDAE",0,"11.2005",5.6,2005,11,40
"CARABIDAE",0,"12.2005",2.5,2005,12,57
"CARABIDAE",0,"1.2006",-1.4,2006,1,20
"CARABIDAE",0,"2.2006",0.4,2006,2,45
"CARABIDAE",0,"3.2006",0.2,2006,3,39
"CARABIDAE",1,"4.2006",6.9,2006,4,45
"CARABIDAE",0,"5.2006",12.3,2006,5,66
"CARABIDAE",4,"6.2006",16.7,2006,6,30
"CARABIDAE",421,"7.2006",21.2,2006,7,23
"CARABIDAE",565,"8.2006",18.2,2006,8,156
"CARABIDAE",15,"9.2006",16.8,2006,9,35
"CARABIDAE",0,"10.2006",12.9,2006,10,77
"CARABIDAE",0,"11.2006",7.5,2006,11,70
"CARABIDAE",0,"12.2006",6.9,2006,12,60
"CARABIDAE",0,"1.2007",5,2007,1,92
"CARABIDAE",0,"2.2007",2.3,2007,2,59
"CARABIDAE",0,"3.2007",6.3,2007,3,34
"CARABIDAE",0,"4.2007",9.6,2007,4,11
"CARABIDAE",1,"5.2007",13.2,2007,5,61
"CARABIDAE",38,"6.2007",17.4,2007,6,110
"CARABIDAE",21,"7.2007",17.2,2007,7,144
"CARABIDAE",611,"8.2007",17.8,2007,8,69
"CARABIDAE",4,"9.2007",13.7,2007,9,72
"CARABIDAE",0,"10.2007",9.4,2007,10,30
"CARABIDAE",0,"11.2007",4.7,2007,11,37
"CARABIDAE",0,"12.2007",3.8,2007,12,54
"CARABIDAE",0,"1.2008",3.9,2008,1,61
"CARABIDAE",0,"2.2008",4.9,2008,2,30
"CARABIDAE",0,"3.2008",4.3,2008,3,59
"CARABIDAE",0,"4.2008",8.1,2008,4,47
"CARABIDAE",2,"5.2008",13.9,2008,5,23
"CARABIDAE",1,"6.2008",16.6,2008,6,33
"CARABIDAE",382,"7.2008",18.7,2008,7,56
"CARABIDAE",366,"8.2008",17.8,2008,8,128
"CARABIDAE",27,"9.2008",14,2008,9,52
"CARABIDAE",0,"10.2008",10.4,2008,10,76
"CARABIDAE",0,"11.2008",5.7,2008,11,56
"CARABIDAE",0,"12.2008",3,2008,12,50
"CARABIDAE",0,"1.2009",0.9,2009,1,28
"CARABIDAE",0,"2.2009",0.8,2009,2,38
"CARABIDAE",0,"3.2009",4,2009,3,39
"CARABIDAE",0,"4.2009",9.8,2009,4,6
"CARABIDAE",0,"5.2009",12.8,2009,5,58
"CARABIDAE",30,"6.2009",15,2009,6,68
"CARABIDAE",74,"7.2009",18.8,2009,7,83
"CARABIDAE",387,"8.2009",18.5,2009,8,45
"CARABIDAE",1,"9.2009",15.3,2009,9,41
"CARABIDAE",0,"10.2009",8.4,2009,10,70
"CARABIDAE",0,"11.2009",6.6,2009,11,89
"CARABIDAE",0,"12.2009",1,2009,12,49
"COCCINELLIDAE",0,"1.1992",2.4,1992,1,34
"COCCINELLIDAE",0,"2.1992",3.5,1992,2,38
"COCCINELLIDAE",0,"3.1992",4.7,1992,3,56
"COCCINELLIDAE",0,"4.1992",7.1,1992,4,54
"COCCINELLIDAE",0,"5.1992",13.8,1992,5,18
"COCCINELLIDAE",2,"6.1992",18.5,1992,6,1
"COCCINELLIDAE",9,"7.1992",19.1,1992,7,51
"COCCINELLIDAE",1,"8.1992",17.7,1992,8,104
"COCCINELLIDAE",1,"9.1992",13.7,1992,9,37
"COCCINELLIDAE",0,"10.1992",7.1,1992,10,67
"COCCINELLIDAE",0,"11.1992",4.6,1992,11,96
"COCCINELLIDAE",0,"12.1992",2.9,1992,12,42
"COCCINELLIDAE",0,"1.1993",2.1,1993,1,74
"COCCINELLIDAE",0,"2.1993",1.6,1993,2,27
